epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7763,0.51612,0.31607,0.88318,0.99907,1,0.995,0.83126,0.69975,0.32726,0.95024,0.0006,0.0006,0.0006
2,45.3003,0.51721,0.32566,0.87813,0.99544,1,0.995,0.8195,0.73559,0.34774,0.96085,0.00119584,0.00119584,0.00119584
3,68.257,0.55493,0.33167,0.88403,0.99132,1,0.99484,0.83339,0.71835,0.34867,0.93507,0.00176714,0.00176714,0.00176714
4,87.4084,0.57251,0.34758,0.88728,0.99931,1,0.995,0.82055,0.70578,0.34928,0.94472,0.0018812,0.0018812,0.0018812
5,106.954,0.57937,0.35969,0.90819,0.99944,1,0.995,0.81617,0.74615,0.36682,0.9556,0.0018416,0.0018416,0.0018416
6,126.028,0.55777,0.34212,0.88591,0.99941,1,0.995,0.82983,0.72579,0.35106,0.93715,0.001802,0.001802,0.001802
7,144.281,0.55863,0.35248,0.89323,0.99138,1,0.99484,0.83528,0.71776,0.3458,0.95069,0.0017624,0.0017624,0.0017624
8,163.176,0.53061,0.32959,0.8664,0.99941,1,0.995,0.82741,0.72783,0.33814,0.96824,0.0017228,0.0017228,0.0017228
9,183.037,0.56172,0.33997,0.87875,0.98357,0.98969,0.9945,0.81263,0.73064,0.36063,0.96029,0.0016832,0.0016832,0.0016832
10,203.316,0.54026,0.34016,0.89911,0.9918,0.99911,0.995,0.8263,0.73026,0.34045,0.97739,0.0016436,0.0016436,0.0016436
11,224.895,0.58306,0.34248,0.89715,0.9999,1,0.995,0.82174,0.73832,0.3361,0.96709,0.001604,0.001604,0.001604
12,243.057,0.55629,0.34567,0.88071,0.99953,1,0.995,0.81102,0.7747,0.3566,1.00761,0.0015644,0.0015644,0.0015644
13,260.913,0.56259,0.33383,0.86192,0.99874,1,0.995,0.80902,0.73947,0.3564,0.96405,0.0015248,0.0015248,0.0015248
14,280.023,0.5924,0.36109,0.91521,0.99883,1,0.995,0.80956,0.75256,0.3711,0.96205,0.0014852,0.0014852,0.0014852
15,299.309,0.52674,0.32911,0.85458,1,0.999,0.995,0.83275,0.70544,0.3341,0.95106,0.0014456,0.0014456,0.0014456
