epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7137,0.46631,0.28935,0.8205,0.99848,1,0.995,0.84168,0.65427,0.29279,0.84204,0.0006,0.0006,0.0006
2,25.2764,0.48984,0.31294,0.83312,0.99802,1,0.995,0.86011,0.67934,0.30525,0.84958,0.00121396,0.00121396,0.00121396
3,35.6336,0.51635,0.33905,0.83128,0.99933,1,0.995,0.82787,0.7222,0.35037,0.86731,0.00182178,0.00182178,0.00182178
4,44.5448,0.54403,0.35142,0.83764,0.99939,1,0.995,0.8319,0.68688,0.32573,0.8666,0.0019703,0.0019703,0.0019703
5,54.8436,0.52037,0.33874,0.83761,0.99857,1,0.995,0.82452,0.72811,0.33975,0.867,0.0019604,0.0019604,0.0019604
6,65.2995,0.55736,0.34506,0.83405,0.99904,1,0.995,0.83137,0.72285,0.34922,0.85586,0.0019505,0.0019505,0.0019505
7,73.9081,0.55367,0.35211,0.8395,0.99712,1,0.995,0.84454,0.69827,0.34963,0.85203,0.0019406,0.0019406,0.0019406
8,84.8926,0.55084,0.34229,0.84597,0.99897,1,0.995,0.83685,0.68123,0.33318,0.85702,0.0019307,0.0019307,0.0019307
9,96.2438,0.56833,0.35541,0.83508,0.99982,1,0.995,0.83634,0.70775,0.34029,0.86174,0.0019208,0.0019208,0.0019208
10,105.428,0.54595,0.34945,0.83835,0.99017,1,0.995,0.8427,0.72222,0.35703,0.8679,0.0019109,0.0019109,0.0019109
11,116.237,0.56532,0.35981,0.83858,0.99939,1,0.995,0.83504,0.70649,0.3395,0.86308,0.001901,0.001901,0.001901
12,126.579,0.53704,0.34177,0.8361,1,0.99984,0.995,0.81936,0.73265,0.34938,0.88235,0.0018911,0.0018911,0.0018911
13,136.718,0.54618,0.35722,0.82301,0.99926,1,0.995,0.83306,0.71279,0.32675,0.86494,0.0018812,0.0018812,0.0018812
14,145.337,0.61103,0.39958,0.86003,0.99816,1,0.995,0.83302,0.69628,0.35349,0.85777,0.0018713,0.0018713,0.0018713
15,155.529,0.57215,0.36371,0.81991,1,0.98201,0.99484,0.83849,0.68439,0.34131,0.86015,0.0018614,0.0018614,0.0018614
16,165.599,0.53628,0.35142,0.83687,0.99084,1,0.99492,0.82904,0.71439,0.36094,0.8598,0.0018515,0.0018515,0.0018515
17,174.157,0.57054,0.36199,0.84331,0.99824,1,0.995,0.81185,0.76767,0.38858,0.86954,0.0018416,0.0018416,0.0018416
18,184.273,0.58508,0.37461,0.84555,0.98302,1,0.99483,0.82179,0.74903,0.3548,0.87023,0.0018317,0.0018317,0.0018317
19,194.38,0.54296,0.35659,0.84712,0.99553,1,0.995,0.84618,0.69374,0.32066,0.85267,0.0018218,0.0018218,0.0018218
20,202.873,0.51748,0.33368,0.83699,0.9992,1,0.995,0.82462,0.74449,0.34638,0.86876,0.0018119,0.0018119,0.0018119
21,213.123,0.53619,0.34027,0.83493,0.99934,1,0.995,0.82343,0.72696,0.32955,0.87037,0.001802,0.001802,0.001802
22,223.373,0.54398,0.34325,0.838,0.9918,0.99964,0.995,0.84359,0.7201,0.35507,0.86176,0.0017921,0.0017921,0.0017921
23,232.074,0.55442,0.35161,0.84244,0.99911,1,0.995,0.82251,0.75609,0.35261,0.86682,0.0017822,0.0017822,0.0017822
24,242.258,0.54502,0.35767,0.83763,0.99944,1,0.995,0.82962,0.69379,0.33161,0.86167,0.0017723,0.0017723,0.0017723
25,252.33,0.57561,0.35843,0.82343,1,0.99991,0.995,0.83946,0.73177,0.34302,0.86933,0.0017624,0.0017624,0.0017624
26,261.346,0.57498,0.36767,0.85399,0.9918,0.99959,0.995,0.83046,0.71498,0.33925,0.87596,0.0017525,0.0017525,0.0017525
