epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0982,0.46631,0.28935,0.8205,0.99848,1,0.995,0.84168,0.65427,0.29279,0.84204,0.0006,0.0006,0.0006
2,24.5551,0.48729,0.31415,0.83333,0.99855,1,0.995,0.86518,0.67552,0.30623,0.84819,0.00119584,0.00119584,0.00119584
3,35.0565,0.51586,0.33411,0.83059,0.99927,1,0.995,0.83101,0.73676,0.34066,0.86981,0.00176714,0.00176714,0.00176714
4,44.0494,0.55176,0.34848,0.83881,0.99944,1,0.995,0.82548,0.69777,0.32813,0.86379,0.0018812,0.0018812,0.0018812
5,54.1533,0.53205,0.34008,0.8386,0.9978,1,0.995,0.8158,0.70725,0.3505,0.86439,0.0018416,0.0018416,0.0018416
6,65.1071,0.54063,0.33678,0.83321,0.99919,1,0.995,0.82741,0.68954,0.33039,0.85334,0.001802,0.001802,0.001802
7,74.6266,0.51059,0.33504,0.83647,0.99942,1,0.995,0.83812,0.70028,0.32746,0.84827,0.0017624,0.0017624,0.0017624
8,85.0075,0.53015,0.33542,0.84338,0.99948,1,0.995,0.83188,0.69894,0.33194,0.853,0.0017228,0.0017228,0.0017228
9,96.2076,0.55113,0.3379,0.83167,0.99931,1,0.995,0.83586,0.67804,0.33758,0.84869,0.0016832,0.0016832,0.0016832
10,105.284,0.51819,0.33,0.83443,0.99936,1,0.995,0.83451,0.70856,0.32489,0.85814,0.0016436,0.0016436,0.0016436
11,114.684,0.54686,0.34433,0.83561,0.99151,1,0.995,0.84501,0.70925,0.32999,0.86004,0.001604,0.001604,0.001604
12,124.918,0.50592,0.33466,0.8323,0.99109,1,0.995,0.83503,0.70983,0.34931,0.85953,0.0015644,0.0015644,0.0015644
13,134.037,0.50206,0.33645,0.81811,0.99937,1,0.995,0.83995,0.70508,0.33746,0.85858,0.0015248,0.0015248,0.0015248
14,143.874,0.56526,0.36149,0.85327,0.99718,1,0.995,0.82903,0.69936,0.33461,0.85612,0.0014852,0.0014852,0.0014852
15,154.136,0.53679,0.32837,0.81274,0.99847,0.99174,0.995,0.8235,0.70142,0.32372,0.86891,0.0014456,0.0014456,0.0014456
16,163.504,0.51406,0.33085,0.83245,0.99974,1,0.995,0.8453,0.70486,0.32457,0.85632,0.001406,0.001406,0.001406
17,172.663,0.52648,0.33218,0.83521,0.99955,1,0.995,0.84461,0.72998,0.33091,0.85861,0.0013664,0.0013664,0.0013664
18,182.755,0.52912,0.32563,0.83605,0.99935,1,0.995,0.81967,0.71867,0.3244,0.85744,0.0013268,0.0013268,0.0013268
