epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3432,1.33384,1.13073,1.15095,0.92273,0.29611,0.66586,0.39166,1.70526,2.34318,1.47138,0.0006,0.0006,0.0006
2,25.5228,0.8508,0.62009,0.92148,1,0.84924,0.95777,0.71865,0.9938,1.00565,0.99401,0.00121396,0.00121396,0.00121396
3,35.4117,0.82226,0.59961,0.91021,0.99951,0.99174,0.995,0.78972,0.7879,0.44465,0.90171,0.00182178,0.00182178,0.00182178
4,43.9566,0.82615,0.56017,0.90912,0.99117,1,0.99475,0.78973,0.79416,0.45409,0.88516,0.0019703,0.0019703,0.0019703
5,53.8782,0.82282,0.53297,0.90854,0.99026,0.99174,0.99467,0.75385,0.84567,0.46817,0.90667,0.0019604,0.0019604,0.0019604
6,63.5722,0.79891,0.51192,0.89402,1,0.9987,0.995,0.81023,0.75812,0.44027,0.87507,0.0019505,0.0019505,0.0019505
7,72.21,0.77283,0.51746,0.89393,0.99939,0.99174,0.995,0.79456,0.76262,0.4348,0.88713,0.0019406,0.0019406,0.0019406
8,82.1616,0.735,0.47097,0.8913,0.99918,0.99174,0.995,0.78971,0.76298,0.42533,0.89621,0.0019307,0.0019307,0.0019307
9,92.7645,0.75682,0.48064,0.88375,1,0.98994,0.995,0.81368,0.76114,0.39981,0.88912,0.0019208,0.0019208,0.0019208
10,101.101,0.72499,0.46255,0.89104,1,0.9896,0.995,0.82317,0.7564,0.41272,0.88961,0.0019109,0.0019109,0.0019109
11,111,0.72953,0.45662,0.88031,0.99934,0.99174,0.995,0.82513,0.71779,0.38885,0.88434,0.001901,0.001901,0.001901
12,120.978,0.74833,0.4761,0.88315,0.99629,1,0.995,0.81661,0.74668,0.40408,0.86856,0.0018911,0.0018911,0.0018911
13,129.13,0.73354,0.46942,0.87288,0.99109,1,0.99434,0.81282,0.73468,0.40838,0.87104,0.0018812,0.0018812,0.0018812
14,139.172,0.81424,0.52243,0.91274,0.9973,1,0.995,0.80228,0.74613,0.44494,0.88297,0.0018713,0.0018713,0.0018713
