epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4518,1.22359,2.69432,1.13493,0.00331,0.99174,0.16148,0.12251,1.05325,3.45398,1.03296,0.0006,0.0006,0.0006
2,27.4481,1.03338,1.47688,0.95859,1,0.46358,0.84036,0.59504,1.00484,2.86909,0.98671,0.00119584,0.00119584,0.00119584
3,38.0737,1.04563,1.34553,0.95768,0.01691,0.46281,0.01345,0.00733,1.49349,6.55393,1.35119,0.00176714,0.00176714,0.00176714
4,49.5126,1.0289,1.15169,0.95273,0.95752,0.93133,0.9779,0.68223,1.06093,0.98865,1.0193,0.0018812,0.0018812,0.0018812
5,58.688,0.98332,1.02231,0.96479,0.98383,0.97521,0.99421,0.75223,0.90428,0.84395,0.94495,0.0018416,0.0018416,0.0018416
6,68.4827,0.9558,0.93473,0.94389,0.98456,0.98347,0.99459,0.70013,0.99732,0.89939,0.93565,0.001802,0.001802,0.001802
7,78.8513,0.92018,0.85462,0.93152,0.96024,0.99805,0.97836,0.72125,0.9447,0.72204,0.92975,0.0017624,0.0017624,0.0017624
8,88.2215,0.89425,0.77428,0.9328,0.98471,0.99174,0.995,0.74937,0.91947,0.69393,0.93031,0.0017228,0.0017228,0.0017228
9,97.9118,0.92531,0.72308,0.9249,0.99915,0.99174,0.995,0.77154,0.86418,0.59415,0.90002,0.0016832,0.0016832,0.0016832
10,108.229,0.86457,0.68558,0.92319,0.98869,0.98347,0.99359,0.75947,0.88581,0.54679,0.9098,0.0016436,0.0016436,0.0016436
11,118.215,0.8616,0.6592,0.91716,0.99859,1,0.995,0.76355,0.87036,0.50905,0.91603,0.001604,0.001604,0.001604
12,127.245,0.84086,0.65342,0.90948,0.98095,0.99174,0.99284,0.77693,0.83892,0.50696,0.88339,0.0015644,0.0015644,0.0015644
13,137.502,0.85416,0.6406,0.90398,0.97527,1,0.99452,0.76154,0.83703,0.52991,0.90606,0.0015248,0.0015248,0.0015248
14,148.025,0.9042,0.67386,0.94369,1,0.99798,0.995,0.7955,0.79991,0.53045,0.89355,0.0014852,0.0014852,0.0014852
15,156.889,0.82702,0.58974,0.88054,0.98274,1,0.99282,0.76685,0.84147,0.46566,0.8876,0.0014456,0.0014456,0.0014456
16,167.127,0.81421,0.5736,0.89803,0.99173,0.99103,0.99467,0.78747,0.82139,0.50493,0.89744,0.001406,0.001406,0.001406
17,177.48,0.81822,0.57908,0.91218,0.9985,0.99174,0.995,0.77602,0.85312,0.47357,0.89958,0.0013664,0.0013664,0.0013664
18,186.337,0.83371,0.57413,0.90785,1,0.99114,0.995,0.78086,0.76394,0.48792,0.88108,0.0013268,0.0013268,0.0013268
